CNR	CROP
54	common bean
1	wheat
2	barley
3	flax
4	peas
5	oats
6	lettuce
7	cruciferae
8	maize
9	evening primrose
10	tulip
11	jerusalem artichoke
12	faba beans
13	beets
14	lolium
15	clover
16	spinach
17	allium
18	sunflower
19	meadowfoam
20	borage
21	marigold
22	crambe
23	african daisy
24	rocket salad
25	chinese silver grass
26	hawk's beard
27	lallemantia
28	false flax
29	honesty
30	cuphea
31	caper spurge
32	quinoa
33	hemp
34	timothy
35	cocksfoot
36	lupin
37	tomato
38	pepper
39	eggplant
40	cucumber
41	potato
42	meadow grass (Poa)
43	fescue
44	caraway
45	agrostis
46	apple
47	watermelon
48	melon
49	lily
50	carrot
51	black salsify
52	lamb's lettuce
53	asparagus
