ENR	CNR	ADDR	E_YEAR	E_DESCR
4	1	CEBECL	1985	Location: Lelystad. Clay.
5	1	CGN	1985	Location: trial field of IvP at the Bornsesteeg Wageningen, sandy soil.
12	2	CGN	1986	Location: Born Wageningen, sandy soil. Sowing date: 8/4/86, harvested 4/8-15/8/1986.
7	2	CGN	1986	Results from a literature survey, connecting the names of the barley entries in the publication with those in the CGN-collection.
8	4	CGN	1985	Seed evaluation using old seeds from an old badly stored pea collection.
9	1	CGN	1985	Location: trial field of IvP at the Bornsesteeg Wageningen, sandy soil.
10	11	CGN	1986	Primary evaluation during a multiplication of newly received material. The soil was hetrogeneous, rather wet and weedy. Grown on ridges.
11	2	CGN	1986	Location: Born Wageningen, sandy soil. Sowing date: 2/10/85, harvested from 28/7-1/8/1986.
18	1	CGN	1986	Morfological evaluation for the determination of T.dicoccoides, preformed by Jacob Mattatia and Jos Dekker.
13	2	GEERTS	1986	Location: Emmeloord.
14	2	SEMUND	1986	Location: Ulrum.
15	2	VDHAVR	1986	Location: Rilland.
16	9	CGN	1986	
17	10	LIMHB	1986	Evaluation performed by Peter van Duin.
24	1	ZELDER	1986	Location: Ottersum.
19	1	CGN	1986	Location: Born Wageningen, sandy soil. Sowing date: 8/4/86, harvested from 11/8-15/8/1986.
20	2	WIERSU	1986	Location: Dronten. Clay.
21	7	SVP	1986	Experiment was performed according to Lubberts 1977, SVP berichten nr 5. The plants were inoculated with 1000 nematodes per plant.
22	1	VDHAVR	1986	Location: Rilland.
23	1	CEBECL	1986	Location: Lelystad. Clay.
30	13	GRCRD	1982	Information collected during collection of genetic material.
25	13	GRCCD	1979	Information collected during collection of genetic material.
26	13	GRCRO	1980	Information collected during collection of genetic material.
27	13	GRDAL	1980	Information collected during collection of genetic material.
28	13	SITOHE	1981	Information collected during collection of genetic material.
29	13	GRCDB	1981	Information collected during collection of genetic material.
36	8	CGN	1985	Sowing date: 23/4/85, after sowing covered with plastic, removed at 6/6/85. Harvested: 28+29/10/85. It was a very wet year. Location: Renkum, sandy soil.
31	13	GRCOR	1983	Information collected during collection of genetic material.
32	13	TUCGE	1984	Information collected during collection of genetic material.
33	13	SPUPV	1984	Information collected during collection of genetic material.
34	13	GRGGB	1985	Information collected during collection of genetic material.
35	13	ISLID	1986	Information collected during collection of genetic material.
42	10	LIMHB	1987	Evaluation performed by Birgit Loos.
37	8	VDHAVR	1985	Multiplication in greenhouse in the Netherlands. The plants were extremely tall.
38	8	ZELDER	1985	Multiplication in France.
39	8	CGN	1986	Sowing date: 29/4/86, covered with plastic after sowing, plastic removed at 23/6/86. Harvested at 23+30/10/86. Location: Renkum, sandy soil.
40	8	ZELDER	1986	Multiplication in France.
41	8	VDHAVR	1986	Mulitplication in France. Sowing date 28/4/86, density: 67000 plant/ha.
48	1	SEMUND	1987	Location: Ulrum.
