METH	UNIT	M_DESCR
368	State	Longitudal section (1=broad obovate, 2=obovate, 3=elliptic, 4=broad elliptic, 5=circular, 6=transverse broad elliptic)
369	State	At harvest maturity (1=very narrow elliptic, 2=1 to 3, 3=narrow elliptic, 4=3 to 5, 5=elliptic)
370	State	At harvest maturity, at the middle of the plant (3= erect, 5= semi erect, 7= horizontal)
371	Stand	At harvest maturity (1=absent or very few, 3=few, 5=medium, 7=many, 9=very many)
372	mm	Average of 10 measurements, 1 measurement per plant. The most typical leaf was chosen.
373	cm	Average of 10 measurements, 1 measurement per plant. The most typical leaf was chosen.
374	cm	Average of 10 measurements (largest extension), 1 measurement per plant. The most typical leaf was chosen
375	cm	Average of 10 measurements, 1 measurement per plant. The most typical leaf was chosen. Measured by means of a scale.
344	Stand	(3=weak, 5=medium, 7=strong)R
345	State	(1=flat, 2=flat thick, 3=flat globe, 4=globe, 5=high globe, 6=spindle, 7=cylinder, 8=flat top, 9=high top)R
347	State	(1=single heart, 2=multi heart)
348	State	The date is presented in weeks relative to the standard (-3=28/6, -2=4/7, -1=11/7, 0=18/7, 1=25/7, 2=1/8)
352	State	(3=rounded, 5=medium rounded, 7=pointed, 9=very pointed)R
354	State	(1=sharp, 2=oval, 3=round)
355	State	(0=not bolting,.., 4=strongly bolting)
356	State	(1=not bolting,.., 3=strongly bolting)
357	State	(0=bad,.., 4=good)
358	ppm	ppm. NO3 of plant juice by nitrate-analate addition method with ION-85.
359	g	-
360	Num	Calculate quotient.
362	State	(1=yellow, 2=green, 3=gray, 4=blue, 5=red)
363	Stand	(3=light, 5=medium, 7=dark)
365	Stand	Measure at 2/3 of the stem (3=concave, 5=flat, 7=convex)
366	Stand	(3=semi-erect, 5=horizontal, 7=drooping)
37	Num	Count on main stem, average of three plants
324	State	At harvest maturity. (1=narrow elliptic, 2=elliptic, 3=broad elliptic)
327	Stand	1=absent or very weak, 3=weak, 5=medium, 7=strong
328	Stand	(3=short, 5=medium, 7=long, 9=very long)
330	State	(1=circular, 2=transverse broad elliptic, 3=transverse elliptic, 4=transverse narrow elliptic)R
332	State	(1=absent, 9=present)
333	Stand	(3=fine, 5=medium, 7=coarse)
334	Stand	(3=loose, 5=medium, 7=solid)
336	State	(3=prostrate, 5=medium, 7=erect)
339	Stand	Measure halfway between the stem base and the outer lamina notch. (1= very narrow <26mm, ..., 9= very wide >39mm)
341	State	(1=irregular, 9=uniform)
342	Stand	(3=thin, 5=medium, 7=thick)
343	State	(1=white, 2=green/white, 3=yellow, 4=red/white, 5=other)
