RNR	E_DATE	STATUS	CNR	ANR	SCNR	GENUS	SPECIES	SUB_SPEC	NAME	SEC_NAME	COLLNR	O_TYPE	O_CNT	DISTRICT	LOCATION	LONGI	LATI	ALTI	IRRIG	ANCEST	POP_TYPE	O_ADDR	CHROMNR	HIGHLIGHT	NA_REMARK	EXTERN_ANR	O_DATE	GENAUTHOR	SPAUTHOR	SUBAUTHOR	UNCERTAINTY
120220	20130221T0000Z	A	16	25120	1610	Spinacia	oleracea				FK 20	3	AZE	Kapaz and Nizami Region	Ganca	46.39487	40.73852	290			L	NTC					20110608	L.	L.		5
923675	19920402T0000Z	A	37	23956	3730	Solanum	peruvianum		PI 128653		483	1	CHL	Tarapaca	From the Azapa Valley, southeast of Arica	-70.333333	-18.483333	61			W	BLOODA	24				19380324	L.	L.		5000
923679	19920402T0000Z	A	37	24039	3716	Solanum	galapagense		LA 1409		SAL493	1	ECU	Galapagos Islands	Island Isabela: 3 km. west of Punta Albermarle	-90.428467	-0.428463	10			W		24	eaten by unknown animals, salt tolerant			19710121	L.	S. Darwin & Peralta		147434
923681	19920402T1345Z	A	37	24012	3710	Solanum	lycopersicum		M XXIV-A			8	BGR			25.47632	42.72541				R	INSPLA		Cold tolerance				L.	L.		288323
923512	19920402T1345Z	A	37	24007	3710	Solanum	lycopersicum		Jutrzenka			8	POL			19.13745	51.9226				B	SKRIVC						L.	L.		414697
923551	19920402T0000Z	A	37	24038	3714	Solanum	cheesmaniae		LA 0166			1	ECU	Galapagos Islands	Island Santa Cruz: Barranco, 1 km. N.of Punta Ayora	-90.25	-0.75	50			W		24	salt tolerant			195008--	L.	(L. Riley) Fosberg		5000
923585	19920402T1345Z	A	37	24196	3710	Solanum	lycopersicum		Alaku												L							L.	L.		
923601	19920402T1345Z	A	37	24197	3710	Solanum	lycopersicum		Oval Red																			L.	L.		
923606	19920402T1345Z	A	37	24198	3710	Solanum	lycopersicum		Red Star												B							L.	L.		
923474	19920402T0000Z	A	37	24568	3730	Solanum	peruvianum		LA 2333		SAL5177	1	PER	La Libertad	Casmiche	-78.633333	-7.95	2000			W		24	allogamous, self incompatible			19801003	L.	L.		5000
923484	19920402T0000Z	A	37	23957	3718	Solanum	pimpinellifolium		PI 127805		180	1	PER	Cuzco	From the Hacienda Maranura, south of Quillabamba	-72.716667	-12.816667	1116			W	BLOODA		fruit about 0.5 inch			19380111	L.	L.		5000
923501	19920402T1345Z	A	37	24005	3710	Solanum	lycopersicum		Habarovsii 131			8	SUN	far east USSR		99.84375	65.94647											L.	L.		4383804
926218	19920402T1345Z	A	39	23970	3922	Solanum	aethiopicum	group Gilo					CIV			-5.5471	7.54685				L						1981----	L.	L.		414962
926227	19920402T1345Z	A	39	23320	3924	Solanum	aethiopicum	group Aculeatum																				L.	L.		
926232	19920402T1345Z	A	39	23585	3950	Solanum	nigrum														W							L.	L.		
926233	19920402T0000Z	A	39	22223	3940	Solanum	sisymbriifolium														W							L.	Lam.		
926238	19920402T1345Z	A	39	24469	3940	Solanum	viarum														W							L.	Dunal		
120224	20130221T0000Z	A	16	25272	1610	Spinacia	oleracea				FK 24	6	AZE	Samaxi		48.6363	40.64237				L	NTC					20110611	L.	L.		5
120226	20130221T0000Z	A	16	25122	1610	Spinacia	oleracea				FK 26	6	AZE	Sabaribad Rayon		48.48	40.07233				L	NTC					20110612	L.	L.		5
844474	19860512T0000Z	A	2	2174	0213	Hordeum	vulgare	subsp. vulgare	Missouri			8	USA			-124.68384	48.36355				B							L.	L.		4342333
951716	19951216T0000Z	A	40	21711	4010	Cucumis	sativus		Linia MK 14/22 (S8)			8	POL			19.13745	51.9226				R			tolerant to angular leaf spot (Corynospora cassiicola), scab (Cladosporium cucumerinum) resistant				L.	L.		414697
951717	19951217T0000Z	A	40	20515	4010	Cucumis	sativus		Gy 3 (S4)	S 4		8	POL			19.13745	51.9226				R			tolerant to angular leaf spot (Corynospora cassiicola), powdery mildew resistant, gy gene for gynocious sex expression, part or core collection based on SSR markers established by Sanwen Huang et al. MIA:doi:10.1371/journal.pone.0046919				L.	L.		414697
951722	19951217T0000Z	A	40	21712	4010	Cucumis	sativus		Knoqoplodnyi Atlasnyi			8	SUN			99.84375	65.94647					VIR		glabrous (hairless leaves)				L.	L.		4383804
951725	19951217T0000Z	A	40	20968	4010	Cucumis	sativus		Type 363			8	NLD			5.42725	52.18741					RZWAAN						L.	L.		181007
951727	19951217T0000Z	A	40	20516	4010	Cucumis	sativus		Long Green				CHN			104.16581	35.86009											L.	L.		3068461
951729	19951217T0000Z	A	40	23964	4010	Cucumis	sativus		Short Internodes d1			8	USA			-124.68384	48.36355					DACSU		short internodes, determinant				L.	L.		4342333
951730	19951217T0000Z	A	40	20969	4010	Cucumis	sativus		W1922			8	USA			-124.68384	48.36355					PETSON		resistance to scab (Cladosporium cucumerinum), CMV, Powdery Mildew, Downy Mildew, Angular Leaf Spot,  Antracnose?				L.	L.		4342333
951733	19951217T0000Z	A	40	20517	4010	Cucumis	sativus		Yellow 1b				LKA			80.7001	7.87711			S:				Sensitive for necrose, part or core collection based on SSR markers established by Sanwen Huang et al. MIA:doi:10.1371/journal.pone.0046919				L.	L.		227949
844459	19860512T0000Z	A	2	2159	0213	Hordeum	vulgare	subsp. vulgare	Mo.B 699			8	USA			-124.68384	48.36355											L.	L.		4342333
